"","TOT_FLY_OPS","TOT_DIR_MAINT","TOTAL_AIR_HOURS","AIRCRAFT_CONFIG","UNIQUE_CARRIER_NAME","CARRIER","REGION","YEAR","QUARTER","time_pt","AC_GROUP","SSD_NAME","MANUFACTURER","LONG_NAME","SHORT_NAME","BEGIN_DATE"
"1",NA,NA,NA,1,"United Air Lines Inc.","UA","A",2018,3,2018.3,6,"BOEING 757-300","BOEING","BOEING 757-300","B757-3","1/1/1999 12:00:00 AM"
"2",NA,NA,NA,1,"US Airways Inc.","US","A",2005,3,2005.3,6,"BOEING 737-400","BOEING","BOEING 737-400","B737-4","1/1/1990 12:00:00 AM"
"3",NA,NA,NA,1,"United Air Lines Inc.","UA","P",2018,4,2018.4,6,"BOEING 767-400/ER","BOEING","BOEING 767-400/ER","B767-4","1/1/1998 12:00:00 AM"
"4",NA,NA,NA,1,"United Air Lines Inc.","UA","P",2019,2,2019.2,6,"BOEING 767-400/ER","BOEING","BOEING 767-400/ER","B767-4","1/1/1998 12:00:00 AM"
"5",NA,NA,NA,1,"United Air Lines Inc.","UA","P",2018,4,2018.4,6,"BOEING 767-300/ER","BOEING","BOEING 767-300/300ER","B767-3/R","1/1/1990 12:00:00 AM"
"6",NA,NA,NA,1,"United Air Lines Inc.","UA","P",2019,2,2019.2,6,"BOEING 767-300/ER","BOEING","BOEING 767-300/300ER","B767-3/R","1/1/1990 12:00:00 AM"
"7",NA,NA,NA,1,"United Air Lines Inc.","UA","L",2019,2,2019.2,6,"BOEING 777-300/ER","BOEING","BOEING 777-300/300ER/333ER","B777-3","3/1/2004 12:00:00 AM"
"8",NA,NA,NA,1,"US Airways Inc.","US","L",2007,4,2007.4,6,"A330-200/220F","AIRBUS INDUSTRIE","AIRBUS INDUSTRIE A330-200","A330-2","1/1/1992 12:00:00 AM"
"9",NA,NA,NA,1,"United Air Lines Inc.","UA","A",2018,2,2018.2,6,"BOEING 757-300","BOEING","BOEING 757-300","B757-3","1/1/1999 12:00:00 AM"
"10",NA,NA,NA,1,"United Air Lines Inc.","UA","P",2016,4,2016.4,6,"BOEING 767-400/ER","BOEING","BOEING 767-400/ER","B767-4","1/1/1998 12:00:00 AM"
"11",NA,NA,NA,1,"United Air Lines Inc.","UA","L",2019,3,2019.3,6,"BOEING 777-300/ER","BOEING","BOEING 777-300/300ER/333ER","B777-3","3/1/2004 12:00:00 AM"
"12",NA,NA,NA,1,"Ryan International Airlines","RD","I",2012,2,2012.2,6,"BOEING 777-200","BOEING","BOEING 777-200ER/200LR/233LR","B777-2","1/1/1994 12:00:00 AM"
"13",NA,NA,0,2,"Southern Air Inc.","9S","I",2016,3,2016.3,6,"BOEING 737-400","BOEING","BOEING 737-400","B737-4","1/1/1990 12:00:00 AM"
"14",NA,NA,0,2,"Southern Air Inc.","9S","I",2015,3,2015.3,6,"BOEING 737-400","BOEING","BOEING 737-400","B737-4","1/1/1990 12:00:00 AM"
"15",NA,NA,0,2,"Southern Air Inc.","9S","I",2016,1,2016.1,6,"BOEING 737-400","BOEING","BOEING 737-400","B737-4","1/1/1990 12:00:00 AM"
"16",NA,NA,0,2,"Southern Air Inc.","9S","I",2016,2,2016.2,6,"BOEING 737-400","BOEING","BOEING 737-400","B737-4","1/1/1990 12:00:00 AM"
"17",NA,NA,0,2,"Southern Air Inc.","9S","I",2017,1,2017.1,6,"BOEING 737-400","BOEING","BOEING 737-400","B737-4","1/1/1990 12:00:00 AM"
"18",NA,NA,0,2,"Southern Air Inc.","9S","I",2017,2,2017.2,6,"BOEING 737-400","BOEING","BOEING 737-400","B737-4","1/1/1990 12:00:00 AM"
"19",NA,NA,0,2,"Southern Air Inc.","9S","I",2017,3,2017.3,6,"BOEING 737-400","BOEING","BOEING 737-400","B737-4","1/1/1990 12:00:00 AM"
"20",NA,NA,0,2,"Southern Air Inc.","9S","I",2017,4,2017.4,6,"BOEING 737-400","BOEING","BOEING 737-400","B737-4","1/1/1990 12:00:00 AM"
